attrs,values
units,"m s-1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"['[', '0', ',', ' ', '0', ']']"
level,time,dtime,id,lon,lat,wind_speed,percentile
0.00000000,2023-02-20 06:00:00,6,1,0.69559997,51.57139969,4.28248692,50.00000000
0.00000000,2023-02-20 06:00:00,6,2,-0.36829999,51.87440109,4.73647165,50.00000000
0.00000000,2023-02-20 06:00:00,6,3,-1.35669994,50.95029831,2.14420772,50.00000000
0.00000000,2023-02-20 06:00:00,6,4,0.02950000,51.32149887,4.18666649,50.00000000
0.00000000,2023-02-20 06:00:00,6,5,0.05800000,51.50479889,3.36691856,50.00000000
0.00000000,2023-02-20 06:00:00,6,6,0.93919998,50.95610046,3.41424847,50.00000000
0.00000000,2023-02-20 06:00:00,6,7,-0.62669998,52.07030106,5.08951855,50.00000000
0.00000000,2023-02-20 06:00:00,6,8,-5.87699986,54.61299896,2.91163778,50.00000000
0.00000000,2023-02-20 06:00:00,6,9,-1.74810004,52.45389938,4.27200937,50.00000000
0.00000000,2023-02-20 06:00:00,6,11,-2.71919990,51.38280106,4.54033279,50.00000000
0.00000000,2023-02-20 06:00:00,6,12,0.17500000,52.20500183,5.12989330,50.00000000
0.00000000,2023-02-20 06:00:00,6,14,-2.80920005,54.93750000,5.58768415,50.00000000
0.00000000,2023-02-20 06:00:00,6,15,-2.30559993,52.63999939,4.30081511,50.00000000
0.00000000,2023-02-20 06:00:00,6,17,-3.02579999,56.45249939,2.54926133,50.00000000
0.00000000,2023-02-20 06:00:00,6,18,-1.32669997,52.83110046,5.67288733,50.00000000
0.00000000,2023-02-20 06:00:00,6,19,-3.41389990,50.73440170,1.44640589,50.00000000
0.00000000,2023-02-20 06:00:00,6,22,-0.34720001,53.57970047,6.09982538,50.00000000
0.00000000,2023-02-20 06:00:00,6,23,-4.04750013,57.54240036,5.02527571,50.00000000
0.00000000,2023-02-20 06:00:00,6,24,0.56110001,52.40940094,5.14374399,50.00000000
0.00000000,2023-02-20 06:00:00,6,25,-1.66059995,53.86579895,6.30228376,50.00000000
0.00000000,2023-02-20 06:00:00,6,26,-2.84999990,53.33359909,3.80578828,50.00000000
0.00000000,2023-02-20 06:00:00,6,28,0.48830000,52.36080170,5.44088030,50.00000000
0.00000000,2023-02-20 06:00:00,6,29,-1.69169998,55.03749847,8.49416065,50.00000000
0.00000000,2023-02-20 06:00:00,6,30,1.28279996,52.67610168,5.34998178,50.00000000
0.00000000,2023-02-20 06:00:00,6,32,-4.58669996,55.50780106,5.90135431,50.00000000
0.00000000,2023-02-20 06:00:00,6,33,-1.29920006,60.43220139,15.50894165,50.00000000
0.00000000,2023-02-20 06:00:00,6,34,-1.38859999,53.39440155,3.84607053,50.00000000
0.00000000,2023-02-20 06:00:00,6,37,-1.42349994,54.51250076,4.53044701,50.00000000
0.00000000,2023-02-20 06:00:00,6,50,-0.12000000,52.34999847,5.58214617,50.00000000
0.00000000,2023-02-20 06:00:00,6,51,-2.16000009,55.25000000,5.56591892,50.00000000
0.00000000,2023-02-20 06:00:00,6,52,-4.87209988,58.61750031,13.01567173,50.00000000
0.00000000,2023-02-20 06:00:00,6,53,-2.28640008,51.43920135,4.93505907,50.00000000
0.00000000,2023-02-20 06:00:00,6,63,-4.32999992,53.09999847,5.28059721,50.00000000
0.00000000,2023-02-20 06:00:00,6,69,-5.23000002,50.00000000,2.26511002,50.00000000
0.00000000,2023-02-20 06:00:00,6,98,-2.88540006,53.74459839,5.72729874,50.00000000
0.00000000,2023-02-20 06:00:00,6,111,1.72000003,52.63000107,5.49493456,50.00000000
0.00000000,2023-02-20 06:00:00,6,127,-1.32040000,51.83560181,4.70402384,50.00000000
0.00000000,2023-02-20 06:00:00,6,134,-1.77999997,51.68000031,5.37669706,50.00000000
0.00000000,2023-02-20 06:00:00,6,139,-0.73710001,51.79119873,4.80981207,50.00000000
0.00000000,2023-02-20 06:00:00,6,201,-3.23289990,54.10639954,5.22649336,50.00000000
0.00000000,2023-02-20 06:00:00,6,203,-4.94589996,56.28239822,2.27640414,50.00000000
0.00000000,2023-02-20 06:00:00,6,204,-0.22480001,52.72639847,6.02545786,50.00000000
0.00000000,2023-02-20 06:00:00,6,205,-0.10620000,52.50410080,5.87549686,50.00000000
0.00000000,2023-02-20 06:00:00,6,206,0.10820000,52.83789825,6.11631012,50.00000000
0.00000000,2023-02-20 06:00:00,6,207,-0.02400000,52.43470001,5.68242359,50.00000000
0.00000000,2023-02-20 06:00:00,6,208,-4.85449982,57.13069916,5.84086275,50.00000000
0.00000000,2023-02-20 06:00:00,6,209,-4.13000011,58.04999924,6.34649324,50.00000000
0.00000000,2023-02-20 06:00:00,6,210,-1.37860000,54.66429901,5.49351311,50.00000000
